channel,angle,window,exp_f1_left,exp_f2_left,exp_L1_left,exp_L2_left,exp_f1_right,exp_f2_right,exp_L1_right,exp_L2_right,act_f1_left,act_f2_left,act_L1_left,act_L2_left,act_f1_right,act_f2_right,act_L1_right,act_L2_right,warning,error
43,0,24,5296,61760,21,33,3776,60240,24,12,5296,61760,21,33,3776,60240,24,15,1,0
54,0,22,61760,42432,27,57,23104,3776,36,12,61760,42432,27,57,23104,3776,36,12,0,0
102,0,29,64940,5296,18,30,23104,3776,48,15,59047,64940,9,21,23104,3776,48,15,0,1
104,0,25,5296,61760,12,27,23104,3776,30,9,5296,61760,12,27,23104,3776,30,9,0,0
3,0,34,59047,64940,15,27,3776,60240,30,15,59047,64940,15,27,60240,596,18,0,0,1
