channel,angle,window,exp_f1_left,exp_f2_left,exp_L1_left,exp_L2_left,exp_f1_right,exp_f2_right,exp_L1_right,exp_L2_right,act_f1_left,act_f2_left,act_L1_left,act_L2_left,act_f1_right,act_f2_right,act_L1_right,act_L2_right,warning,error
20,0,12,61760,42432,111,162,23104,3776,147,90,61760,42432,111,162,23104,3776,147,90,0,0
65,0,13,61760,42432,111,144,23104,3776,132,90,61760,42432,111,144,23104,3776,132,90,0,0
41,0,15,59047,64940,66,87,596,6489,78,60,59047,64940,69,87,24166,30059,75,72,1,1
72,0,10,61760,42432,111,156,23104,3776,144,99,61760,42432,111,153,23104,3776,144,99,1,0
106,0,11,61760,42432,111,150,23104,3776,138,96,61760,42432,111,150,23104,3776,138,96,0,0
