channel,angle,window,exp_f1_left,exp_f2_left,exp_L1_left,exp_L2_left,exp_f1_right,exp_f2_right,exp_L1_right,exp_L2_right,act_f1_left,act_f2_left,act_L1_left,act_L2_left,act_f1_right,act_f2_right,act_L1_right,act_L2_right,warning,error
21,0,31,59047,64940,90,99,60240,596,102,87,59047,64940,93,99,60240,596,102,87,1,0
121,0,30,59047,64940,84,102,60240,596,99,96,59047,64940,87,102,60240,596,99,96,1,0
122,0,36,53155,59047,96,105,60240,596,105,99,53155,59047,96,105,60240,596,105,99,0,0
8,0,32,59047,64940,87,111,3776,60240,108,96,59047,64940,87,111,3776,60240,108,96,0,0
109,0,31,64940,5296,99,114,60240,596,105,93,64940,5296,99,114,60240,596,105,93,0,0
